"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 11 04:31:09 UTC 2025","Tue Nov 11 04:31:10 UTC 2025","423","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Tue Nov 11 04:31:11 UTC 2025","Tue Nov 11 04:31:12 UTC 2025","230","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Tue Nov 11 04:31:12 UTC 2025","Tue Nov 11 04:31:13 UTC 2025","866","UI Tests Suite","UI Tests","tests.ui.CheckoutFlowTests","tests.ui.CheckoutFlowTests","completeCheckoutFlowTest","Complete Checkout Flow E2E",""
"passed","Tue Nov 11 04:31:11 UTC 2025","Tue Nov 11 04:31:11 UTC 2025","226","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
